date,brand,sales
04/10/21,Producto 1,$87.94
04/10/21,Producto 2,$260.15
04/10/21,Producto 3,$176.41
04/10/21,Producto 4,$239.88
04/10/21,Producto 5,"$2,098.09"
04/10/21,Producto 6,"$2,341.76"
04/10/21,Producto 7,$792.51
04/10/21,Producto 8,"$1,050.89"
04/10/21,Producto 9,"$2,771.14"
04/10/21,Producto 10,"$1,048.24"
04/10/21,Producto 11,$79.96
04/10/21,Producto 12,$496.49
04/10/21,Producto 13,$66.95
04/10/21,Producto 14,"$1,704.43"
04/10/21,Producto 15,$180.88
04/10/21,Producto 16,$187.80
04/10/21,Producto 17,$690.54
04/10/21,Producto 18,$698.24
05/10/21,Producto 7,$566.66
05/10/21,Producto 14,"$1,761.59"
05/10/21,Producto 6,"$2,532.40"
05/10/21,Producto 16,$171.81
05/10/21,Producto 4,$339.83
05/10/21,Producto 17,$863.43
05/10/21,Producto 3,$158.47
05/10/21,Producto 8,"$1,080.86"
05/10/21,Producto 10,$830.39
05/10/21,Producto 13,$137.90
05/10/21,Producto 11,$139.93
05/10/21,Producto 15,$248.33
05/10/21,Producto 2,$269.12
05/10/21,Producto 5,"$2,390.29"
05/10/21,Producto 9,"$2,484.29"
05/10/21,Producto 12,$435.30
05/10/21,Producto 18,$722.73
05/10/21,Producto 1,$159.89
06/10/21,Producto 3,$152.49
06/10/21,Producto 13,$118.92
06/10/21,Producto 2,$281.08
06/10/21,Producto 18,$752.68
06/10/21,Producto 1,$47.97
06/10/21,Producto 16,$181.80
06/10/21,Producto 12,$459.53
06/10/21,Producto 14,"$1,972.89"
06/10/21,Producto 9,"$2,554.29"
06/10/21,Producto 15,$315.80
06/10/21,Producto 7,$876.47
06/10/21,Producto 4,$239.88
06/10/21,Producto 8,"$1,136.30"
06/10/21,Producto 5,"$1,572.93"
06/10/21,Producto 6,"$2,564.10"
06/10/21,Producto 17,$705.13
06/10/21,Producto 10,$610.57
06/10/21,Producto 11,$59.97
07/10/21,Producto 10,$803.43
07/10/21,Producto 8,"$1,493.38"
07/10/21,Producto 2,$332.92
07/10/21,Producto 9,"$2,869.10"
07/10/21,Producto 7,$891.94
07/10/21,Producto 18,$989.11
07/10/21,Producto 14,"$2,352.97"
07/10/21,Producto 13,$43.97
07/10/21,Producto 15,$241.84
07/10/21,Producto 4,$199.90
07/10/21,Producto 16,$181.80
07/10/21,Producto 17,$907.39
07/10/21,Producto 5,"$2,059.59"
07/10/21,Producto 12,$479.50
07/10/21,Producto 6,"$3,024.96"
07/10/21,Producto 1,$31.98
07/10/21,Producto 3,$131.56
07/10/21,Producto 11,$159.92
08/10/21,Producto 6,"$4,692.23"
08/10/21,Producto 13,$203.86
08/10/21,Producto 11,$279.86
08/10/21,Producto 3,$170.43
08/10/21,Producto 16,$209.77
08/10/21,Producto 14,"$3,169.11"
08/10/21,Producto 17,"$1,435.02"
08/10/21,Producto 10,$979.31
08/10/21,Producto 7,"$1,707.45"
08/10/21,Producto 18,"$1,071.86"
08/10/21,Producto 5,"$3,590.85"
08/10/21,Producto 2,$366.79
08/10/21,Producto 9,"$4,727.67"
08/10/21,Producto 1,$271.83
08/10/21,Producto 15,$367.76
08/10/21,Producto 8,"$1,941.42"
08/10/21,Producto 4,$559.72
08/10/21,Producto 12,$664.31
09/10/21,Producto 4,$444.78
09/10/21,Producto 14,"$3,442.61"
09/10/21,Producto 2,$349.87
09/10/21,Producto 13,$172.88
09/10/21,Producto 17,"$1,413.03"
09/10/21,Producto 5,"$4,500.52"
09/10/21,Producto 1,$271.83
09/10/21,Producto 6,"$5,439.83"
09/10/21,Producto 3,$191.36
09/10/21,Producto 11,$279.86
09/10/21,Producto 7,"$1,413.14"
09/10/21,Producto 8,"$2,209.12"
09/10/21,Producto 18,"$1,096.81"
09/10/21,Producto 9,"$5,519.33"
09/10/21,Producto 15,$514.17
09/10/21,Producto 12,$673.90
09/10/21,Producto 10,"$1,457.97"
09/10/21,Producto 16,$199.78
10/10/21,Producto 13,$83.94
10/10/21,Producto 3,$158.47
10/10/21,Producto 8,"$1,927.41"
10/10/21,Producto 9,"$4,019.61"
10/10/21,Producto 2,$353.85
10/10/21,Producto 10,$923.35
10/10/21,Producto 4,$439.78
10/10/21,Producto 12,$610.37
10/10/21,Producto 5,"$2,906.02"
10/10/21,Producto 16,$190.79
10/10/21,Producto 15,$485.63
10/10/21,Producto 14,"$2,812.48"
10/10/21,Producto 6,"$3,909.70"
10/10/21,Producto 7,"$1,103.83"
10/10/21,Producto 1,$151.91
10/10/21,Producto 17,$991.32
10/10/21,Producto 19,$15.99
10/10/21,Producto 18,$861.05
10/10/21,Producto 11,$179.91
11/10/21,Producto 13,$94.94
11/10/21,Producto 15,$164.89
11/10/21,Producto 6,"$2,192.87"
11/10/21,Producto 19,$15.99
11/10/21,Producto 7,$584.64
11/10/21,Producto 16,$155.83
11/10/21,Producto 8,"$1,008.42"
11/10/21,Producto 3,$125.58
11/10/21,Producto 5,"$1,795.78"
11/10/21,Producto 1,$63.96
11/10/21,Producto 10,$587.59
11/10/21,Producto 14,"$1,581.25"
11/10/21,Producto 12,$464.52
11/10/21,Producto 4,$239.88
11/10/21,Producto 17,$492.66
11/10/21,Producto 18,$525.93
11/10/21,Producto 2,$293.04
11/10/21,Producto 9,"$2,173.53"
11/10/21,Producto 11,$39.98
12/10/21,Producto 15,$128.41
12/10/21,Producto 3,$137.54
12/10/21,Producto 1,$63.96
12/10/21,Producto 6,"$2,127.29"
12/10/21,Producto 5,"$1,607.50"
12/10/21,Producto 11,$239.88
12/10/21,Producto 8,$892.03
12/10/21,Producto 16,$98.89
12/10/21,Producto 18,$595.94
12/10/21,Producto 17,$565.62
12/10/21,Producto 4,$139.93
12/10/21,Producto 10,$638.55
12/10/21,Producto 9,"$2,118.58"
12/10/21,Producto 7,"$1,034.36"
12/10/21,Producto 13,$115.92
12/10/21,Producto 12,$501.98
12/10/21,Producto 2,$200.37
12/10/21,Producto 14,"$1,597.76"
13/10/21,Producto 9,"$1,795.84"
13/10/21,Producto 14,"$1,531.14"
13/10/21,Producto 4,$299.85
13/10/21,Producto 17,$621.22
13/10/21,Producto 16,$193.29
13/10/21,Producto 7,$797.51
13/10/21,Producto 6,"$2,560.27"
13/10/21,Producto 10,$513.18
13/10/21,Producto 11,$139.93
13/10/21,Producto 2,$278.09
13/10/21,Producto 18,$660.30
13/10/21,Producto 5,"$1,964.05"
13/10/21,Producto 13,$76.95
13/10/21,Producto 3,$155.48
13/10/21,Producto 8,"$1,169.24"
13/10/21,Producto 1,$111.93
13/10/21,Producto 15,$210.85
13/10/21,Producto 12,$482.50
14/10/21,Producto 5,"$2,282.05"
14/10/21,Producto 18,$572.89
14/10/21,Producto 4,$259.87
14/10/21,Producto 3,$194.35
14/10/21,Producto 10,$657.09
14/10/21,Producto 12,$469.77
14/10/21,Producto 11,$339.83
14/10/21,Producto 1,$95.94
14/10/21,Producto 8,"$1,172.76"
14/10/21,Producto 6,"$3,350.81"
14/10/21,Producto 16,$162.82
14/10/21,Producto 17,$735.54
14/10/21,Producto 15,$185.35
14/10/21,Producto 14,"$2,019.29"
14/10/21,Producto 2,$286.05
14/10/21,Producto 9,"$2,708.26"
14/10/21,Producto 13,$96.94
14/10/21,Producto 7,$761.53
15/10/21,Producto 1,$143.91
15/10/21,Producto 11,$259.87
15/10/21,Producto 16,$211.27
15/10/21,Producto 12,$863.10
15/10/21,Producto 9,"$4,563.08"
15/10/21,Producto 4,$359.82
15/10/21,Producto 10,"$1,212.74"
15/10/21,Producto 17,"$1,602.00"
15/10/21,Producto 14,"$2,938.42"
15/10/21,Producto 8,"$1,887.60"
15/10/21,Producto 2,$409.65
15/10/21,Producto 13,$192.88
15/10/21,Producto 18,"$1,169.23"
15/10/21,Producto 7,"$1,504.57"
15/10/21,Producto 6,"$4,719.45"
15/10/21,Producto 3,$182.39
15/10/21,Producto 15,$409.73
15/10/21,Producto 5,"$3,731.12"
16/10/21,Producto 4,$579.71
16/10/21,Producto 1,$351.78
16/10/21,Producto 5,"$4,459.67"
16/10/21,Producto 6,"$5,325.40"
16/10/21,Producto 13,$112.93
